,MC,HR,VT,Ensemble,actual outcome
1,21.410138497880567,21.430811121142106,21.42014025695025,21.430040023644242,21.456288650768023
2,21.426205073174525,21.45037011462846,21.43497099728167,21.449257341260793,21.479691881233553
3,21.435640430694963,21.46260149904656,21.443650813198882,21.461232080101617,21.487556333263047
4,21.44732572395531,21.476203473513582,21.4538548910629,21.474588513723013,21.500375417753478
5,21.44873247226982,21.478235712428468,21.456496301653,21.4766647729689,21.502484043838194
6,21.46231464646161,21.493898650106416,21.469227619559053,21.492115864178974,21.51463111612266
7,21.473727430109022,21.506266377791672,21.481246371734482,21.504458373989827,21.523319894930303
8,21.475181194795837,21.511587447133056,21.48184666671267,21.50943830789377,21.52926365999767
9,21.493951848200663,21.528801712063018,21.50026329689696,21.526739458871177,21.542393230538263
10,21.504720405909346,21.539108469223493,21.511021724528163,21.537078854918455,21.54817319883685
